City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
183,yerbogachen,RU,61.2767,108.0108,50.77,59,100,7.45,overcast clouds,0.0,0
184,bara,NG,10.3744,10.7288,74.95,81,37,10.13,scattered clouds,0.0,0
185,nara,JP,34.6851,135.8049,82.96,96,74,4.94,broken clouds,0.0,0
186,primorsk,UA,46.7348,36.3443,63.81,70,0,7.58,clear sky,0.0,0
187,kampot,KH,10.6167,104.1833,78.85,92,100,18.99,overcast clouds,0.0,0
188,loandjili,CG,-4.7561,11.8578,71.71,94,75,4.61,broken clouds,0.0,0
189,flin flon,CA,54.7682,-101.865,67.75,54,100,7.65,overcast clouds,0.0,0
190,airai,TL,-8.9266,125.4092,64.83,67,74,3.38,broken clouds,0.0,0
191,murgab,TM,37.4966,61.9714,71.47,53,0,4.61,clear sky,0.0,0
192,umba,RU,66.6871,34.3429,54.88,97,100,4.47,overcast clouds,0.0,0
193,stromness,GB,58.965,-3.296,60.76,88,100,8.99,overcast clouds,0.0,0
194,sao filipe,CV,14.8961,-24.4956,73.44,85,39,5.08,scattered clouds,0.0,0
195,vila velha,BR,-20.3297,-40.2925,71.55,93,100,3.44,overcast clouds,0.0,0
196,saint-augustin,CA,51.226,-58.6502,53.06,97,100,2.84,overcast clouds,0.0,0
197,clyde river,CA,70.4692,-68.5914,41.23,93,100,18.41,overcast clouds,0.0,0
198,tsaratanana,MG,-16.7833,47.65,64.67,75,2,11.65,clear sky,0.0,0
199,erzin,TR,36.9559,36.2,73.69,91,69,2.04,broken clouds,0.0,0
200,vila franca do campo,PT,37.7167,-25.4333,71.2,87,99,7.47,overcast clouds,0.0,0
201,dikson,RU,73.5069,80.5464,37.6,93,100,6.71,overcast clouds,0.0,0
202,roros,NO,62.5747,11.3842,39.04,93,100,0.0,fog,0.0,0
203,kindu,CD,-2.95,25.95,77.5,42,100,2.51,overcast clouds,0.0,0
204,kikwit,CD,-5.041,18.8162,69.87,33,28,2.8,scattered clouds,0.0,0
205,asau,RO,46.4333,26.4,51.28,83,30,5.79,scattered clouds,0.0,0
206,emba,KZ,48.8264,58.1442,73.81,56,0,9.46,clear sky,0.0,0
207,klaksvik,FO,62.2266,-6.589,50.92,90,74,39.46,light rain,0.14,0
208,ilulissat,GL,69.2167,-51.1,42.82,87,75,1.14,broken clouds,0.0,0
209,broken hill,AU,-31.95,141.4333,51.67,61,98,10.27,overcast clouds,0.0,0
210,hammerfest,NO,70.6634,23.6821,59.45,72,26,0.0,scattered clouds,0.0,0
211,meshchovsk,RU,54.3244,35.2808,61.77,97,100,16.6,light rain,0.31,0
212,tateyama,JP,34.9833,139.8667,77.5,86,100,6.2,overcast clouds,0.0,0
213,xixiang,CN,35.1628,112.865,78.06,90,100,4.32,overcast clouds,0.0,0
214,broome,US,42.2506,-75.833,78.1,59,0,7.0,clear sky,0.0,0
215,gotsu,JP,35.0,132.2167,77.59,91,92,7.38,overcast clouds,0.0,0
216,chateaubelair,VC,13.2833,-61.25,79.48,83,100,15.26,overcast clouds,0.0,0
217,dunedin,NZ,-45.8742,170.5036,47.8,87,100,20.0,light rain,0.85,0
218,oussouye,SN,12.485,-16.5469,80.78,89,63,2.39,moderate rain,1.01,0
219,kurilsk,RU,45.2333,147.8833,67.23,82,28,2.89,scattered clouds,0.0,0
220,havelock,US,34.8791,-76.9013,78.8,91,100,4.61,overcast clouds,0.0,0
221,mar del plata,AR,-38.0023,-57.5575,45.09,71,75,17.0,broken clouds,0.0,0
222,avera,US,33.194,-82.5271,77.05,74,100,3.49,overcast clouds,0.0,0
223,chokurdakh,RU,70.6333,147.9167,54.25,91,100,13.6,light rain,0.21,0
224,bougouni,ML,11.417,-7.479,75.27,88,100,1.43,overcast clouds,0.0,0
225,awbari,LY,26.5921,12.7805,83.35,29,3,15.64,clear sky,0.0,0
226,samoded,RU,63.6083,40.5111,65.12,84,23,3.18,few clouds,0.0,0
227,kozhevnikovo,RU,56.2589,83.9714,64.26,61,12,7.07,few clouds,0.0,0
228,tiksi,RU,71.6872,128.8694,35.64,98,100,17.56,light rain,1.0,0
229,pacific grove,US,36.6177,-121.9166,72.21,86,0,10.36,clear sky,0.0,0
230,buraydah,SA,26.326,43.975,84.65,15,99,9.62,overcast clouds,0.0,0
231,kulhudhuffushi,MV,6.6221,73.07,81.41,78,100,8.88,overcast clouds,0.0,0
232,kavieng,PG,-2.5744,150.7967,85.37,67,46,12.66,scattered clouds,0.0,0
233,atbasar,KZ,51.8,68.3333,70.99,77,9,13.42,clear sky,0.0,0
234,loubomo,CG,-4.1997,12.6739,63.99,94,18,3.42,few clouds,0.0,0
235,fairbanks,US,64.8378,-147.7164,77.49,69,75,10.36,smoke,0.0,0
236,pisco,PE,-13.7,-76.2167,60.85,82,40,10.36,mist,0.0,0
237,tura,IN,25.5198,90.2201,82.8,73,1,3.6,clear sky,0.0,0
238,turukhansk,RU,65.8167,87.9833,50.18,56,33,14.61,scattered clouds,0.0,0
239,luis correia,BR,-2.8792,-41.6669,78.98,82,96,8.59,overcast clouds,0.0,0
240,maarianhamina,AX,60.0973,19.9348,48.06,100,40,2.3,fog,0.0,0
241,altamira,BR,-3.2033,-52.2064,76.14,77,91,2.55,overcast clouds,0.0,0
242,platteville,US,42.7342,-90.4785,79.03,69,0,9.22,clear sky,0.0,0
243,san andres,CO,12.5847,-81.7006,82.42,83,75,10.36,broken clouds,0.0,0
244,gannan,CN,47.9147,123.5031,83.93,56,65,13.96,broken clouds,0.0,0
245,egvekinot,RU,66.3167,-179.1667,51.12,70,95,4.03,overcast clouds,0.0,0
246,beyneu,KZ,45.3167,55.2,83.57,27,0,6.85,clear sky,0.0,0
247,katsuura,JP,35.1333,140.3,78.44,83,100,5.3,overcast clouds,0.0,0
248,sadon,RU,42.8518,44.0037,59.99,96,62,3.09,light rain,0.19,0
249,marathon,US,44.9,-89.7668,67.95,87,23,13.33,few clouds,0.0,0
250,sirur,IN,18.8333,74.3833,71.44,91,100,16.6,overcast clouds,0.0,0
251,lompoc,US,34.6391,-120.4579,80.02,81,0,13.8,clear sky,0.0,0
252,namibe,AO,-15.1961,12.1522,63.82,90,1,6.22,clear sky,0.0,0
253,decatur,US,39.8403,-88.9548,84.25,84,0,5.75,clear sky,0.0,0
254,brae,GB,60.3964,-1.353,57.69,87,100,24.43,light rain,0.14,0
255,lasa,IT,46.6166,10.7002,56.61,86,6,4.32,clear sky,0.0,0
256,kruisfontein,ZA,-34.0033,24.7314,49.68,80,0,6.29,clear sky,0.0,0
257,kangaatsiaq,GL,68.3065,-53.4641,40.12,88,100,4.41,overcast clouds,0.0,0
258,kodiak,US,57.79,-152.4072,69.31,56,0,5.75,clear sky,0.0,0
259,marzuq,YE,14.4,46.4667,71.76,63,71,6.02,broken clouds,0.0,0
260,ahipara,NZ,-35.1667,173.1667,59.63,84,7,18.68,clear sky,0.0,0
261,nabire,ID,-3.3667,135.4833,77.67,91,100,1.23,overcast clouds,0.0,0
262,la rioja,ES,42.25,-2.5,62.38,50,1,4.09,clear sky,0.0,0
263,shar,KZ,49.5886,81.0453,72.3,55,0,7.18,clear sky,0.0,0
264,balezino,RU,57.9796,53.0106,66.22,92,25,5.21,scattered clouds,0.0,0
265,evensk,RU,61.95,159.2333,61.56,64,59,7.99,broken clouds,0.0,0
266,athens,GR,37.9795,23.7162,78.19,46,20,5.75,few clouds,0.0,0
267,tiverton,GB,50.9,-3.4833,63.05,87,0,2.3,clear sky,0.0,0
268,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,75.79,61,20,13.42,few clouds,0.0,0
269,lagoa,PT,39.05,-27.9833,67.28,90,37,9.1,scattered clouds,0.0,0
270,fort saint james,CA,54.4333,-124.25,62.98,71,99,9.37,overcast clouds,0.0,0
271,murray bridge,AU,-35.1167,139.2667,57.13,59,33,11.92,scattered clouds,0.0,0
272,andros town,BS,24.7,-77.7667,84.16,73,6,10.51,clear sky,0.0,0
273,la palma,US,33.8464,-118.0467,88.66,67,0,11.5,clear sky,0.0,0
274,minot,US,48.2325,-101.2963,75.42,50,0,12.66,clear sky,0.0,0
275,zhuhai,CN,22.2769,113.5678,93.85,84,20,5.75,few clouds,0.0,0
276,gorontalo,ID,0.5412,123.0595,77.22,91,100,3.65,overcast clouds,0.0,0
277,provideniya,RU,64.3833,-173.3,51.91,82,100,11.18,overcast clouds,0.0,0
278,amapa,BR,1.0,-52.0,71.28,99,90,1.97,overcast clouds,0.0,0
279,jinchang,CN,38.4953,102.1739,72.32,54,100,9.17,overcast clouds,0.0,0
280,sur,OM,22.5667,59.5289,84.07,77,100,7.65,light rain,0.22,0
281,lufkin,US,31.3382,-94.7291,95.13,68,40,5.75,scattered clouds,0.0,0
282,peniche,PT,39.3558,-9.3811,65.28,87,86,9.71,overcast clouds,0.0,0
283,ketchikan,US,55.3422,-131.6461,57.67,72,100,10.36,overcast clouds,0.0,0
284,the valley,AI,18.217,-63.0578,82.26,76,78,16.67,broken clouds,0.0,0
285,miandrivazo,MG,-19.5167,45.4667,62.51,65,0,4.63,clear sky,0.0,0
286,stanger,ZA,-29.3282,31.2895,58.89,74,93,1.99,overcast clouds,0.0,0
287,pasighat,IN,28.0667,95.3333,84.34,83,86,1.28,overcast clouds,0.0,0
288,fandriana,MG,-20.2333,47.3833,46.09,95,4,2.26,clear sky,0.0,0
289,turayf,SA,31.6725,38.6637,71.85,60,0,6.91,clear sky,0.0,0
290,bambous virieux,MU,-20.3428,57.7575,70.21,73,40,12.66,scattered clouds,0.0,0
291,touros,BR,-5.1989,-35.4608,74.03,91,45,9.64,scattered clouds,0.0,0
292,constitucion,CL,-35.3333,-72.4167,47.39,84,35,2.59,scattered clouds,0.0,0
293,meulaboh,ID,4.1363,96.1285,75.88,86,100,5.95,overcast clouds,0.0,0
294,cayenne,GF,4.9333,-52.3333,79.09,1,0,0.0,clear sky,0.0,0
295,rayong,TH,12.8333,101.4333,83.08,99,100,7.72,moderate rain,1.19,0
296,makakilo city,US,21.3469,-158.0858,86.32,53,40,18.41,scattered clouds,0.0,0
297,vysokogornyy,RU,50.1167,139.15,64.72,96,100,3.42,light rain,0.42,0
298,den helder,NL,52.9599,4.7593,60.78,98,98,8.01,overcast clouds,0.0,0
299,ancud,CL,-41.8697,-73.8203,43.23,92,100,26.8,moderate rain,3.09,0
300,udachnyy,RU,66.4167,112.4,61.45,62,65,2.98,broken clouds,0.0,0
301,naranjal,EC,-2.6667,-79.6167,72.07,90,75,3.27,broken clouds,0.0,0
302,fortuna,US,40.5982,-124.1573,71.85,74,20,1.99,few clouds,0.0,0
303,port elizabeth,ZA,-33.918,25.5701,57.31,75,0,10.36,clear sky,0.0,0
304,minsk,BY,53.9,27.5667,56.95,96,100,19.75,overcast clouds,0.0,0
305,kandrian,PG,-6.2167,149.55,84.94,69,51,10.85,broken clouds,0.0,0
306,aitape,PG,-3.1374,142.3475,86.49,61,60,4.97,broken clouds,0.0,0
307,gizo,SB,-8.103,156.8419,84.09,68,9,3.87,clear sky,0.0,0
308,janauba,BR,-15.8025,-43.3089,65.1,39,2,3.15,clear sky,0.0,0
309,codrington,AU,-38.2667,141.9667,53.4,61,59,2.08,broken clouds,0.0,0
